repository_name,date,clones,unique_cloners
unicorn-finance,2023-12-29,3,2
unicorn-finance,2023-12-30,3,2
unicorn-finance,2023-12-31,1,1
unicorn-finance,2024-01-05,1,1
unicorn-finance,2024-01-08,41,16
unicorn-finance,2024-01-09,69,18
unicorn-finance,2024-01-10,2,2
unicorn-finance,2024-01-11,5,5
unicorn-finance,2024-01-12,3,3
unicorn-finance,2024-01-13,2,2
unicorn-finance,2024-01-14,1,1
unicorn-finance,2024-01-15,4,4
unicorn-finance,2024-01-16,6,4
unicorn-finance,2024-01-17,3,3
unicorn-finance,2024-01-18,8,6
unicorn-finance,2024-01-19,1,1
unicorn-finance,2024-01-20,2,2
unicorn-finance,2024-01-21,2,2
unicorn-finance,2024-01-22,1,1
