repository_name,site,views,unique_visitors/cloners
unicorn-finance,Google,1,1
unicorn-finance,t.co,1,1
unicorn-finance,payments-preview.prod.aws.jpmchase.net,1,1
unicorn-finance,mail.google.com,5,1
unicorn-finance,github.com,38,8
unicorn-finance,embedded-banking-dev.com,1,1
unicorn-finance,jpmorgan.com,2,1
unicorn-finance,developer.payments.jpmorgan.com,2,1
unicorn-finance,linkedin.com,1,1
unicorn-finance,Bing,1,1
unicorn-finance,theforage.com,7,2
unicorn-finance,online-payments-dev.com,1,1
unicorn-finance,confluence.prod.aws.jpmchase.net,8,1
unicorn-finance,global-payments-dev.com,5,1
